epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,skill,read_flow_kl,primitive_slot_kl,slot_transition_kl,primitive_transition_kl,slot_composition_kl,write_flow_kl,write_budget,update_alive,class_read_div,slot_div,logit_norm
1,2.313061009724935,2.2256520398457846,0.16166666666666665,2.1442817249298094,0.226,0.226,0.07826335297028224,0.029255948921044668,0.016489107593894006,0.008341481988628704,0.2254861779610316,0.0029803069283564887,0.030062983055909476,0.0005367713165469468,0.0,0.6749343547821045,0.3139655760129293,0.17738587689399718
2,2.1369640089670816,2.049508413950602,0.25625,1.9695123872756959,0.281,0.281,0.09896156267325083,0.038097278455893197,0.02061274003982544,0.010436525834103426,0.28367488233248395,0.004254008011271556,0.038437174280484515,0.0005367713165469468,0.0,0.6749128009478251,0.30527562856674195,0.4959526925086975
3,2.0220233300526935,1.934441336631775,0.2946666666666667,1.8856159801483154,0.3035,0.3035,0.11141277003288269,0.041875621577103936,0.022726118683815,0.011691143840551376,0.3218966615994771,0.004867340218275786,0.042334130803744,0.0005367713165469468,0.0,0.6749038157463074,0.30160601790746056,0.7828107376098633
4,1.9467321825027466,1.8590601336161297,0.3263333333333333,1.8284873533248902,0.3185,0.3185,0.11914759190877279,0.04315585065881411,0.024187933057546615,0.012552893231312433,0.3478190643787384,0.005222815872480472,0.04341392792264621,0.0005367713165469468,0.0,0.6748968173662822,0.29901554171244304,0.9866541407903036
5,1.892501848856608,1.8047929442723591,0.34908333333333336,1.7383880176544189,0.355,0.355,0.12940696156024933,0.045462121337652206,0.02614627536634604,0.013596372778216998,0.3813338275750478,0.005633624921242396,0.04519909437497457,0.0005367713165469468,0.0,0.6748905339241028,0.29596927865346273,1.127408878962199
6,1.8244760716756185,1.736690618832906,0.3764166666666667,1.688697901725769,0.3875,0.3875,0.143520636677742,0.05023547002673149,0.028895068049430848,0.01497833201289177,0.4239218848546346,0.0062241986865798635,0.04953392082452774,0.0005367713165469468,0.0,0.6749033873875936,0.29403955666224163,1.2896850541432698
7,1.7646973555882772,1.6767695461908976,0.3919166666666667,1.7082248849868775,0.3865,0.3875,0.1461402803659439,0.04992049678166707,0.02921315581103166,0.015124186967809995,0.4346966843605041,0.006171461912492911,0.049085923453172045,0.0005367713165469468,0.0,0.674906913280487,0.29436608831087746,1.4831324084599813
8,1.7178124663035075,1.6297491073608399,0.4078333333333333,1.5605188484191894,0.4365,0.4365,0.1494837886095047,0.051344930907090504,0.03000915716091792,0.015496961149076621,0.4438616011142731,0.006193116929382085,0.05060419251521429,0.0005367713165469468,0.0,0.6748985792795817,0.293641815662384,1.698889897028605
9,1.6557977848052978,1.5675602416992187,0.43633333333333335,1.4931080226898192,0.442,0.442,0.15046927098433177,0.05157551317413648,0.03018215216199557,0.015605906121432781,0.44712521648406983,0.006243735169370969,0.050726804504791896,0.0005367713165469468,0.0,0.6748842426935832,0.295046857436498,1.9100527346928915
10,1.6155650959014893,1.5271845385233562,0.44558333333333333,1.454817011833191,0.456,0.456,0.15112880619366964,0.051947072952985764,0.03029079016049703,0.015736325323581695,0.44864968792597454,0.0063798401380578676,0.051152549465497334,0.0005367713165469468,0.0,0.6748698029518128,0.29426987981796265,2.1390412375132244
11,1.5760239772796631,1.4874559984207154,0.4623333333333333,1.407271469116211,0.4775,0.4775,0.16102667244275412,0.05524822566906611,0.03223692837357521,0.0165901460001866,0.47845931426684063,0.006724549656112988,0.054407990177472436,0.0005367713165469468,0.0,0.6748522181510925,0.2954507412115733,2.3760477377573648
12,1.5402276503245036,1.4515407889684042,0.47833333333333333,1.3960634050369263,0.4835,0.4835,0.15498625969886778,0.05300204312801361,0.031038588394721348,0.01597803796827793,0.4607718523343404,0.006434290445099274,0.052281835168600084,0.0005367713165469468,0.0,0.6748369011878967,0.2940875843365987,2.587455935160319
13,1.517258663813273,1.4283881673812866,0.47875,1.3439710187911986,0.511,0.511,0.15637238609790802,0.053132675369580586,0.031474887400865556,0.01604789633055528,0.46532181318600974,0.006374738087256749,0.052602025469144185,0.0005367713165469468,0.0,0.6748126207987467,0.2970881589253743,2.7682169233957925
14,1.49194322681427,1.4029241511027017,0.49216666666666664,1.32883344745636,0.503,0.511,0.15383742415905,0.05266779651244481,0.03097603772083918,0.015994943127036094,0.45675630021095276,0.006358551636338234,0.05214326749245326,0.0005367713165469468,0.0,0.674785031636556,0.2973593370119731,2.9774527289072674
15,1.4615055745442709,1.372388791402181,0.5039166666666667,1.2758971815109252,0.5315,0.5315,0.14913339273134868,0.050606353133916857,0.029975535601377487,0.015470229119062423,0.44389465181032817,0.006139165179183086,0.05000224205851555,0.0005367713165469468,0.0,0.6747580056190491,0.2959795977274577,3.1610897884368896
16,1.439184812227885,1.3499306093851726,0.50675,1.275132975578308,0.534,0.534,0.15299782160917919,0.05167577491203944,0.03063861491282781,0.01585570757587751,0.45608924142519636,0.006235842851301034,0.051033858279387154,0.0005367713165469468,0.0,0.6747155677477519,0.2973662050565084,3.3250620867411294
17,1.4174807090759278,1.328101809501648,0.52225,1.258978099822998,0.557,0.557,0.14764064188798268,0.049810577323039375,0.02957898325721423,0.015254178504149118,0.4404128428300222,0.006157305106520653,0.04894663930932681,0.0005367713165469468,0.0,0.6747019097010295,0.29574980068206785,3.5517175299326578
18,1.4050748914082845,1.3156824083328247,0.5204166666666666,1.2583288059234619,0.547,0.557,0.1474595140616099,0.05035356285174688,0.02966484002272288,0.015269367190698782,0.4380711920261383,0.006143251433968544,0.0499140486518542,0.0005367713165469468,0.0,0.6746347721417745,0.29515384848912557,3.5996655972798663
19,1.3866191708246867,1.2970772301355997,0.5320833333333334,1.2057834568023682,0.5625,0.5625,0.14213883554935455,0.048440174361069996,0.028593283022443454,0.014758701883256436,0.4226268263657888,0.005919857244938612,0.04781752274433772,0.0005367713165469468,0.0,0.674597510655721,0.29567389249801634,3.804707930246989
20,1.3833695589701334,1.2937979351679485,0.53075,1.1923759441375732,0.5615,0.5625,0.14473427240053813,0.050163317650556566,0.02918653234342734,0.01514128855864207,0.4282816696961721,0.006174876598020395,0.049650308499733606,0.0005367713165469468,0.0,0.6745333603223165,0.2940023203690847,3.905867685953776
21,1.3586615250905354,1.2690148735046387,0.538,1.1647662839889525,0.5825,0.5825,0.1478662507534027,0.050191233217716215,0.02998021455605825,0.015477381934722265,0.4396557776927948,0.006230630056311687,0.049521456132332484,0.0005367713165469468,0.0,0.6744991887410482,0.29502926087379455,3.9895652847290037
