epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,skill,read_flow_kl,primitive_slot_kl,slot_transition_kl,primitive_transition_kl,slot_composition_kl,write_flow_kl,write_budget,update_alive,class_read_div,slot_div,logit_norm
1,2.3130636666615803,2.225653048833211,0.16166666666666665,2.1442870540618895,0.226,0.226,0.07826399648189544,0.02925602787733078,0.016489184856414794,0.008341572371621926,0.2254884194135666,0.0029803213017682234,0.030063065697749455,0.0005367713165469468,0.0,0.6749344051678975,0.3140479807853699,0.1773865343729655
2,2.136979850769043,2.0495167350769044,0.25625,1.9695375814437865,0.281,0.281,0.0989791310429573,0.03810219768683116,0.020615939805905023,0.010438378915190697,0.2837296969890594,0.004254654311885436,0.038442007114489876,0.0005367713165469468,0.0,0.6749130506515503,0.30565063333511355,0.4959336783091227
3,2.022048649787903,1.9344541177749635,0.29475,1.885655442237854,0.3035,0.3035,0.11146157799164454,0.04189003657301267,0.022734709034363428,0.011695971742272377,0.3220482635498047,0.004868856350580851,0.042348271936178204,0.0005367713165469468,0.0,0.6749042523701986,0.3022316813468933,0.7827919836044311
4,1.9467513068517048,1.8590636332829793,0.3263333333333333,1.8285525560379028,0.3185,0.3185,0.11921746279795964,0.04317673279841741,0.02420033919811249,0.012560044238964717,0.3480349505742391,0.005225156381726265,0.04343463142712911,0.0005367713165469468,0.0,0.6748974486986796,0.29979203128814697,0.9866568648020426
5,1.892490714708964,1.8047641350428263,0.349,1.7382907447814941,0.3545,0.3545,0.12947416480382284,0.04548125573992729,0.02615776219467322,0.013603434577584266,0.38154438885053,0.005635759823024273,0.045217494865258535,0.0005367713165469468,0.0,0.6748913310368856,0.2968471271197001,1.1274444646835327
6,1.8244222434361776,1.736617201169332,0.3764166666666667,1.6886480083465576,0.3875,0.3875,0.1436060243844986,0.05026071521639824,0.028910137017567953,0.014987111940979958,0.424187536795934,0.006227112136781216,0.049557725797096885,0.0005367713165469468,0.0,0.6749042170842489,0.2950109314918518,1.2897861948013305
7,1.7646995999018351,1.6767509845097859,0.392,1.7081795854568482,0.3865,0.3875,0.14624253988265992,0.04994818830490112,0.029230818410714468,0.015134226948022843,0.43501952139536537,0.006174335216482481,0.049113487799962365,0.0005367713165469468,0.0,0.6749079362551371,0.2953951675097148,1.4832686376571655
8,1.7177904809316,1.6297060352961221,0.408,1.560407148361206,0.437,0.437,0.14958648657798768,0.051372105737527214,0.030026504337787627,0.015506878219544887,0.4441878613630931,0.006195545772711436,0.05063134245077769,0.0005367713165469468,0.0,0.6748999120394389,0.2946831959088643,1.6990293601353963
9,1.6558045797348022,1.5675455830891927,0.4364166666666667,1.4929541988372803,0.4415,0.4415,0.1505972876548767,0.051609261691570284,0.030204309870799383,0.015618214542667071,0.4475321275393168,0.006247099074224631,0.050759754498799645,0.0005367713165469468,0.0,0.6748860155741374,0.2961037193934123,1.9101625343958537
10,1.615542322476705,1.5271397161483764,0.44558333333333333,1.454810486793518,0.456,0.456,0.15122205432256064,0.05197141267855962,0.030306386748949688,0.01574576523900032,0.44894593302408853,0.006381918812791506,0.05117744668324788,0.0005367713165469468,0.0,0.674872055053711,0.29535329325993853,2.1391753877003987
11,1.5760037616093954,1.487413846651713,0.46225,1.4071796073913574,0.477,0.477,0.16115302328268688,0.0552820579012235,0.03225894893209139,0.01660262117286523,0.47885942037900286,0.006728048433860143,0.05444095036387443,0.0005367713165469468,0.0,0.6748549747467041,0.29652380084991453,2.376243382136027
12,1.5401995296478272,1.45148929977417,0.4785,1.396044101715088,0.484,0.484,0.15511833087603252,0.053037937223911286,0.031061351597309113,0.015990972086787222,0.46118864917755126,0.006437612107644478,0.05231777087847392,0.0005367713165469468,0.0,0.674840348402659,0.2952275966803233,2.5876637236277262
13,1.5172403809229533,1.4283458693822224,0.47891666666666666,1.34396901512146,0.511,0.511,0.15651663796106974,0.05317201560735702,0.03150082596639792,0.016062057567139465,0.4657755707105001,0.006378399836520354,0.052641289879878365,0.0005367713165469468,0.0,0.674817109266917,0.2982537784576416,2.76845973777771
14,1.491955880800883,1.4029124879837036,0.4920833333333333,1.3288082723617554,0.5035,0.511,0.15397327621777854,0.05270561655362447,0.03100009454290072,0.016008102332552274,0.45718270826339724,0.006361907417575518,0.05218103536963463,0.0005367713165469468,0.0,0.6747905993461609,0.298536247253418,2.977605597813924
